id_amc,QL,lisa_cat,lisa_rotulo,ano
5033,0.5383264573049218,0,Não Significativo,1985
5035,3.541886006927774,0,Não Significativo,1985
5037,6.627855233369702,0,Não Significativo,1985
5039,8.988162047387187,1,Alto-Alto (Cluster),1985
5041,2.378701865474554,2,Baixo-Alto,1985
5042,9.906578236562858,0,Não Significativo,1985
5044,0.1207248665072324,2,Baixo-Alto,1985
5045,9.868140014128224,0,Não Significativo,1985
5046,7.501304586124238,0,Não Significativo,1985
5047,7.137398538177006,1,Alto-Alto (Cluster),1985
5048,9.62578762804258,1,Alto-Alto (Cluster),1985
5049,7.823046767794431,0,Não Significativo,1985
5050,0.7946105379564957,2,Baixo-Alto,1985
5051,5.679374266025901,0,Não Significativo,1985
5052,2.329119599708442,0,Não Significativo,1985
5053,9.383717952992988,0,Não Significativo,1985
5054,5.521613869747404,0,Não Significativo,1985
5055,2.960442004238467,0,Não Significativo,1985
5056,6.082422603362997,1,Alto-Alto (Cluster),1985
5058,1.142690904212765,2,Baixo-Alto,1985
5060,7.663258831833633,1,Alto-Alto (Cluster),1985
5061,6.500041110607229,1,Alto-Alto (Cluster),1985
5062,10.1690465452537,1,Alto-Alto (Cluster),1985
5063,0.3413733345602408,0,Não Significativo,1985
5064,7.785577998159605,0,Não Significativo,1985
5065,4.363096840307785,0,Não Significativo,1985
5066,2.599412491526459,0,Não Significativo,1985
5067,6.83361445808719,1,Alto-Alto (Cluster),1985
5069,0.8600997214609607,2,Baixo-Alto,1985
5070,2.45357232957008,2,Baixo-Alto,1985
5071,6.775573310229868,1,Alto-Alto (Cluster),1985
5072,8.938075699697608,1,Alto-Alto (Cluster),1985
5073,12.072851334346092,0,Não Significativo,1985
5074,3.7685966107703255,0,Não Significativo,1985
5075,3.317736728887937,1,Alto-Alto (Cluster),1985
5076,13.370288913341328,0,Não Significativo,1985
5077,7.663091028670368,0,Não Significativo,1985
5079,12.461548748353458,0,Não Significativo,1985
5080,7.583674963419223,0,Não Significativo,1985
5081,0.5141419432746909,0,Não Significativo,1985
5082,7.93716635482159,0,Não Significativo,1985
5084,0.098925661032721,0,Não Significativo,1985
5085,5.69315770045859,0,Não Significativo,1985
5086,10.695425373040669,0,Não Significativo,1985
5088,8.759664012541217,1,Alto-Alto (Cluster),1985
5090,10.57081233188442,0,Não Significativo,1985
5092,3.401358898486749,0,Não Significativo,1985
5093,4.693989419472066,1,Alto-Alto (Cluster),1985
5094,12.081262533490792,1,Alto-Alto (Cluster),1985
5095,8.79651685698972,1,Alto-Alto (Cluster),1985
5096,8.920094374509375,0,Não Significativo,1985
5097,7.781834931814336,0,Não Significativo,1985
5099,3.700552505298083,0,Não Significativo,1985
5100,0.8112171933129765,0,Não Significativo,1985
5101,10.479482728619663,1,Alto-Alto (Cluster),1985
5102,10.915075036635525,1,Alto-Alto (Cluster),1985
5103,1.6722161948627323,2,Baixo-Alto,1985
5104,1.227623561484552,0,Não Significativo,1985
5105,5.801511347015706,0,Não Significativo,1985
5106,3.5368112440017083,0,Não Significativo,1985
5107,3.52709586536535,0,Não Significativo,1985
5108,12.927993040690165,0,Não Significativo,1985
5109,4.187235049436094,0,Não Significativo,1985
5110,2.6614890725877487,2,Baixo-Alto,1985
5111,16.06422773638469,0,Não Significativo,1985
5112,7.089889031175567,0,Não Significativo,1985
5113,16.99757394120291,0,Não Significativo,1985
5114,5.156402451056602,1,Alto-Alto (Cluster),1985
5116,6.313738871598626,1,Alto-Alto (Cluster),1985
5117,6.203672498434041,0,Não Significativo,1985
5118,0.664190856538315,2,Baixo-Alto,1985
5119,2.8435315987186054,2,Baixo-Alto,1985
5120,0.4317533351518109,0,Não Significativo,1985
5121,0.6240348777150828,0,Não Significativo,1985
5122,0.0623494025853655,0,Não Significativo,1985
5123,7.441678176060683,0,Não Significativo,1985
5125,0.1718136853661823,0,Não Significativo,1985
5126,6.053156691740901,1,Alto-Alto (Cluster),1985
5127,14.645195257225971,1,Alto-Alto (Cluster),1985
5129,14.499944431941184,1,Alto-Alto (Cluster),1985
5131,5.920884008476934,1,Alto-Alto (Cluster),1985
5133,8.228287335309856,1,Alto-Alto (Cluster),1985
5134,1.3098602008082547,0,Não Significativo,1985
5135,5.725783246019957,1,Alto-Alto (Cluster),1985
5136,3.1607955110454773,0,Não Significativo,1985
5137,7.184566130373485,1,Alto-Alto (Cluster),1985
5138,4.2247974435486455,1,Alto-Alto (Cluster),1985
5139,1.83892486459598,0,Não Significativo,1985
5140,9.991491764304826,1,Alto-Alto (Cluster),1985
5141,14.277274801153956,0,Não Significativo,1985
5143,0.6773892721562593,2,Baixo-Alto,1985
5144,14.09826379076197,0,Não Significativo,1985
5145,7.168579154440475,0,Não Significativo,1985
5146,0.1461812986730772,2,Baixo-Alto,1985
5147,4.685932184034434,1,Alto-Alto (Cluster),1985
6001,0.2359544636746918,0,Não Significativo,1985
6002,6.300710007739008,1,Alto-Alto (Cluster),1985
