id_amc,ql,rendimento_kg_ha,tipologia,ano
10191,0.0,0.0,Não especializado,1985
10192,18.045909098751693,1979.7838480640762,Alta espec. / Alta produt.,1985
10193,0.0,0.0,Não especializado,1985
10194,0.0,0.0,Não especializado,1985
10195,0.0,0.0,Não especializado,1985
10196,0.0,0.0,Não especializado,1985
10197,0.24723765578236503,1000.0,Não especializado,1985
10198,0.793010894924091,600.0,Não especializado,1985
10199,0.0,0.0,Não especializado,1985
1020,0.0,0.0,Não especializado,1985
10200,0.0,0.0,Não especializado,1985
10201,1.3252183279985115,500.0,Baixa espec. / Baixa produt.,1985
10202,0.4881927235741972,1253.7142857142858,Não especializado,1985
10203,2.0184831847080456,300.0,Baixa espec. / Baixa produt.,1985
10204,0.0,0.0,Não especializado,1985
10205,0.0,0.0,Não especializado,1985
10206,0.0,0.0,Não especializado,1985
10207,0.0,0.0,Não especializado,1985
10208,0.0,0.0,Não especializado,1985
10209,0.0,0.0,Não especializado,1985
1021,0.0,0.0,Não especializado,1985
10210,0.0,0.0,Não especializado,1985
10211,0.0,0.0,Não especializado,1985
10212,0.04716304821479738,400.0,Não especializado,1985
10213,1.404285560689364,900.0,Baixa espec. / Alta produt.,1985
10214,0.0,0.0,Não especializado,1985
10215,0.0,0.0,Não especializado,1985
10216,0.5598101616038115,300.0,Não especializado,1985
10217,0.0,0.0,Não especializado,1985
10218,0.0,0.0,Não especializado,1985
10219,0.0,0.0,Não especializado,1985
1022,0.0,0.0,Não especializado,1985
10220,0.0,0.0,Não especializado,1985
10221,0.0,0.0,Não especializado,1985
10222,0.2899446246170872,900.0,Não especializado,1985
10223,3.2850124667668874,1000.0,Baixa espec. / Alta produt.,1985
10224,1.3765277620408283,601.6949152542373,Baixa espec. / Baixa produt.,1985
10225,0.0,0.0,Não especializado,1985
10226,0.0,0.0,Não especializado,1985
10227,0.0,0.0,Não especializado,1985
10228,0.0,0.0,Não especializado,1985
10229,0.0,0.0,Não especializado,1985
1023,0.0,0.0,Não especializado,1985
10230,12.024587526880449,1094.0782122905027,Alta espec. / Alta produt.,1985
10231,0.0,0.0,Não especializado,1985
10232,0.0,0.0,Não especializado,1985
10233,0.0,0.0,Não especializado,1985
10234,0.012882689313483318,900.0,Não especializado,1985
10235,0.0,0.0,Não especializado,1985
10236,1.1027601583404962,417.5824175824176,Baixa espec. / Baixa produt.,1985
10237,0.0,0.0,Não especializado,1985
10238,0.0,0.0,Não especializado,1985
10239,0.0,0.0,Não especializado,1985
1024,0.0,0.0,Não especializado,1985
10240,0.0,0.0,Não especializado,1985
10241,0.0,0.0,Não especializado,1985
10242,0.0,0.0,Não especializado,1985
10243,0.0,0.0,Não especializado,1985
10244,0.0,0.0,Não especializado,1985
10245,0.0,0.0,Não especializado,1985
10246,0.0,0.0,Não especializado,1985
10247,0.0,0.0,Não especializado,1985
10248,0.0,0.0,Não especializado,1985
10249,0.0,0.0,Não especializado,1985
1025,0.0,0.0,Não especializado,1985
10250,0.0,0.0,Não especializado,1985
10251,1.604563223421405,423.0769230769231,Baixa espec. / Baixa produt.,1985
10252,0.0,0.0,Não especializado,1985
10253,13.59556557928621,1550.02624671916,Alta espec. / Alta produt.,1985
10254,0.0,0.0,Não especializado,1985
10255,1.9110710438075103,900.4149377593361,Baixa espec. / Alta produt.,1985
10256,0.7522297582762904,550.0,Não especializado,1985
10257,0.0,0.0,Não especializado,1985
10258,1.6990212204512107,599.388379204893,Baixa espec. / Baixa produt.,1985
10259,0.0,0.0,Não especializado,1985
1026,0.0,0.0,Não especializado,1985
10260,3.0018467875145296,600.0,Baixa espec. / Baixa produt.,1985
10261,0.0,0.0,Não especializado,1985
10262,0.007861745034467564,200.0,Não especializado,1985
10263,6.450726972069236,1250.1256913021618,Alta espec. / Alta produt.,1985
