id_amc,ano,area_colhida_ha,total_area_colhida_ha,QL
10097,1985,0.0,2132.0,0.0
10097,1996,0.0,1914.0,0.0
10097,2005,0.0,2066.0,0.0
10097,2024,0.0,617.0,0.0
10098,1985,0.0,6763.0,0.0
10098,1996,0.0,2675.0,0.0
10098,2005,0.0,5314.0,0.0
10098,2024,0.0,2002.0,0.0
10099,1985,0.0,891.0,0.0
10099,1996,0.0,1785.0,0.0
10099,2005,0.0,2015.0,0.0
10099,2024,0.0,140.0,0.0
1010,1985,0.0,1131.0,0.0
1010,1996,5.0,2745.0,0.0982784914584533
1010,2005,0.0,2515.0,0.0
1010,2024,0.0,764.0,0.0
10100,1985,0.0,372.0,0.0
10100,1996,0.0,164.0,0.0
10100,2005,0.0,678.0,0.0
10100,2024,0.0,701.0,0.0
10101,1985,0.0,17419.0,0.0
10101,1996,32.0,3361.0,0.5137032246183004
10101,2005,70.0,3030.0,1.035384983581756
10101,2024,0.0,2116.0,0.0
10102,1985,200.0,4273.0,0.9353139961904822
10102,1996,145.0,831.0,9.414511808122954
10102,2005,100.0,630.0,7.113869615085534
10102,2024,0.0,314.0,0.0
10103,1985,0.0,3366.0,0.0
10103,1996,0.0,2444.0,0.0
10103,2005,0.0,3356.0,0.0
10103,2024,0.0,2090.0,0.0
10104,1985,0.0,4724.0,0.0
10104,1996,0.0,1491.0,0.0
10104,2005,0.0,890.0,0.0
10104,2024,0.0,522.0,0.0
10105,1985,272.0,10039.0,0.5414255921687244
10105,1996,0.0,8108.0,0.0
10105,2005,550.0,8297.0,2.9709001104340573
10105,2024,0.0,2738.0,0.0
10106,1985,2200.0,8037.0,5.470021620373427
10106,1996,0.0,13511.0,0.0
10106,2005,0.0,27900.0,0.0
10106,2024,0.0,6800.0,0.0
10107,1985,188.0,17284.0,0.21735714553220403
10107,1996,600.0,110945.0,0.2917926457831765
10107,2005,16287.0,220737.0,3.3068341277251116
10107,2024,65219.0,440434.0,6.738076570077908
10108,1985,170.0,6721.0,0.5054466894604435
10108,1996,0.0,5925.0,0.0
10108,2005,0.0,7721.0,0.0
10108,2024,1558.0,8057.0,8.799069210704955
10109,1985,0.0,743.0,0.0
10109,1996,0.0,390.0,0.0
10109,2005,0.0,667.0,0.0
10109,2024,0.0,30.0,0.0
1011,1985,0.0,22446.0,0.0
1011,1996,0.0,6917.0,0.0
1011,2005,0.0,17399.0,0.0
1011,2024,0.0,12945.0,0.0
10110,1985,0.0,959.0,0.0
10110,1996,0.0,9084.0,0.0
10110,2005,0.0,11579.0,0.0
10110,2024,0.0,4699.0,0.0
10111,1985,0.0,2199.0,0.0
10111,1996,150.0,1486.0,5.446321515211056
10111,2005,0.0,1730.0,0.0
10111,2024,0.0,3130.0,0.0
10112,1985,0.0,3170.0,0.0
10112,1996,0.0,4117.0,0.0
10112,2005,0.0,5066.0,0.0
10112,2024,0.0,1333.0,0.0
10113,1985,0.0,7301.0,0.0
10113,1996,15.0,3322.0,0.2436253393017348
10113,2005,0.0,1710.0,0.0
10113,2024,0.0,3718.0,0.0
10114,1985,0.0,559.0,0.0
10114,1996,0.0,673.0,0.0
10114,2005,0.0,2468.0,0.0
10114,2024,0.0,328.0,0.0
10115,1985,500.0,2324.0,4.299264958823075
10115,1996,240.0,940.0,13.775717058048729
10115,2005,850.0,2230.0,17.082857304387012
10115,2024,0.0,547.0,0.0
10116,1985,0.0,983.0,0.0
10116,1996,0.0,673.0,0.0
10116,2005,0.0,1063.0,0.0
10116,2024,0.0,251.0,0.0
10117,1985,0.0,420.0,0.0
10117,1996,0.0,715.0,0.0
10117,2005,0.0,897.0,0.0
10117,2024,0.0,439.0,0.0
10118,1985,0.0,5413.0,0.0
10118,1996,0.0,2871.0,0.0
10118,2005,10.0,3100.0,0.14457218895173826
10118,2024,0.0,3861.0,0.0
10119,1985,0.0,1827.0,0.0
10119,1996,0.0,1346.0,0.0
10119,2005,0.0,1413.0,0.0
10119,2024,0.0,2442.0,0.0
1012,1985,0.0,4059.0,0.0
1012,1996,0.0,1175.0,0.0
1012,2005,0.0,4557.0,0.0
1012,2024,0.0,773.0,0.0
10120,1985,0.0,1217.0,0.0
